User_ID,Name,Age,Country,Subscription_Type,Signup_Date,Tenure_Days,Watch_Time_Hours,Favorite_Genre,Last_Login,Days_Since_Login,Support_Tickets,Num_Devices,Churn
158,Wei Thomas,21,Brazil,Basic,2025-09-21,282,1.12,Adventure,2026-06-28,2,0,1,0
159,Carlos Smith,45,Germany,Premium,2025-02-17,498,0.0,Documentary,2026-06-02,28,0,3,1
160,Linda Johnson,40,USA,Standard,2024-08-06,693,1.12,Action,2026-06-25,5,0,1,1
161,Richard Brown,21,Brazil,Premium,2026-05-29,32,0.0,Sci-Fi,2026-06-27,3,3,1,1
162,Sofia Lewis,18,USA,Basic,2023-09-11,1023,0.0,Sci-Fi,2026-05-07,54,1,2,1
163,Robert Thomas,36,Australia,Basic,2025-11-07,235,1.51,Thriller,2026-06-25,5,0,1,1
164,Lucas Thomas,26,France,Premium,2024-10-23,615,7.86,Adventure,2026-06-29,1,1,1,0
165,Thomas Wilson,32,Mexico,Standard,2024-06-24,736,0.4,Fantasy,2026-06-29,1,0,1,0
166,Thomas Harris,50,Canada,Basic,2023-12-27,916,4.56,Crime,2026-06-25,5,0,1,0
167,Linda Anderson,55,USA,Standard,2025-05-30,396,7.13,Thriller,2026-06-29,1,0,1,0
168,Charles Lewis,26,Germany,Premium,2025-11-22,220,0.4,Documentary,2026-05-13,48,1,4,1
169,Olivia Smith,18,Canada,Basic,2023-08-22,1043,4.4,Romance,2026-06-19,11,0,1,0
170,John Anderson,21,Germany,Basic,2024-12-15,562,3.07,Fantasy,2026-06-27,3,1,1,0
171,Michael Hall,38,Brazil,Basic,2026-04-03,88,0.0,Adventure,2026-06-26,4,0,1,0
172,Barbara Brown,19,USA,Basic,2026-03-16,106,0.0,Comedy,2026-06-23,7,2,1,1
173,Linda Brown,42,USA,Basic,2026-05-16,45,1.19,Crime,2026-05-19,42,0,1,1
174,Linda Davis,49,France,Basic,2024-11-01,606,2.49,Adventure,2026-06-23,7,0,1,1
175,Emma Moore,39,UK,Standard,2026-04-15,76,1.98,Drama,2026-06-20,10,0,1,1
176,Michael Young,19,Australia,Basic,2025-11-06,236,3.06,Drama,2026-06-26,4,1,2,0
177,David Clark,35,UK,Standard,2024-07-15,715,2.26,Sci-Fi,2026-06-29,1,0,2,0
178,Hiroshi White,18,India,Premium,2026-01-07,174,2.83,Sci-Fi,2026-06-16,14,0,1,0
179,Noah Johnson,18,France,Standard,2024-06-15,745,5.97,Horror,2026-06-28,2,1,3,0
180,Robert Anderson,23,Japan,Basic,2024-09-11,657,8.63,Sci-Fi,2026-06-24,6,0,1,0
181,Karen Jackson,38,France,Basic,2025-03-08,479,0.51,Sci-Fi,2026-06-25,5,1,1,1
182,Barbara Davis,28,UK,Premium,2025-08-11,323,1.34,Sci-Fi,2026-06-30,0,1,1,0
183,Patricia Harris,27,France,Premium,2024-03-04,848,2.79,Romance,2026-06-26,4,0,4,0
184,Thomas Taylor,40,France,Premium,2025-07-08,357,0.51,Adventure,2026-06-27,3,2,3,1
185,William Walker,37,Germany,Premium,2024-09-08,660,1.4,Sci-Fi,2026-06-24,6,3,2,0
186,Fatima Thomas,41,India,Premium,2023-10-02,1002,5.96,Documentary,2026-06-08,22,0,1,0
187,Sofia Clark,34,USA,Premium,2024-05-03,788,2.48,Sci-Fi,2026-06-28,2,0,2,0
188,Ananya Clark,39,USA,Standard,2025-02-20,495,1.32,Thriller,2026-05-21,40,0,1,1
189,Emma Martinez,33,France,Standard,2026-03-16,106,0.85,Horror,2026-05-01,60,0,2,1
190,James Young,18,Japan,Standard,2025-03-25,462,0.66,Thriller,2026-06-16,14,2,2,1
191,Karen White,44,Mexico,Premium,2023-10-13,991,1.78,Crime,2026-06-18,12,2,1,1
192,John Hall,35,UK,Basic,2024-12-20,557,3.03,Action,2026-06-28,2,1,1,0
193,Jennifer Walker,36,Brazil,Basic,2026-02-11,139,0.0,Horror,2026-06-04,26,2,1,1
194,Susan Harris,41,India,Premium,2025-10-27,246,1.64,Crime,2026-06-29,1,0,1,0
195,John Johnson,27,Germany,Premium,2023-07-22,1074,4.28,Documentary,2026-06-20,10,0,1,0
196,Charles Walker,24,Japan,Standard,2025-11-24,218,0.36,Romance,2026-06-23,7,0,2,1
197,Barbara Lewis,38,France,Standard,2023-11-15,958,3.1,Fantasy,2026-06-16,14,1,2,0
198,James Young,18,Germany,Premium,2025-11-03,239,0.88,Documentary,2026-06-26,4,0,2,0
199,Susan Thomas,40,India,Basic,2023-08-12,1053,11.56,Romance,2026-06-28,2,0,2,0
200,Carlos Moore,40,France,Premium,2024-02-03,878,2.39,Action,2026-06-28,2,1,1,0
201,Sofia Walker,38,Mexico,Premium,2025-07-26,339,0.0,Romance,2026-05-29,32,1,2,1
202,Olivia Hall,26,India,Basic,2024-08-22,677,0.05,Documentary,2026-06-11,19,2,1,1
203,Ananya Lewis,38,Canada,Premium,2025-01-12,534,6.26,Thriller,2026-06-30,0,0,1,0
204,David Clark,44,UK,Standard,2023-08-30,1035,10.57,Romance,2026-06-29,1,0,1,0
205,Noah Lewis,50,France,Premium,2024-02-08,873,10.27,Crime,2026-06-30,0,0,1,0
206,Thomas Davis,27,Australia,Premium,2026-03-30,92,3.56,Documentary,2026-06-28,2,0,1,0
207,Sofia White,50,USA,Basic,2026-03-17,105,0.0,Fantasy,2026-06-27,3,1,1,1
208,Linda Thomas,22,USA,Premium,2024-04-10,811,7.56,Thriller,2026-06-08,22,0,2,0
209,Mary Taylor,32,India,Premium,2023-10-20,984,11.32,Thriller,2026-06-30,0,0,2,0
210,Olivia Young,38,Australia,Basic,2024-03-26,826,3.72,Sci-Fi,2026-06-30,0,0,1,0
211,Jessica Miller,47,France,Standard,2025-12-05,207,0.0,Sci-Fi,2026-06-29,1,0,1,0
212,Elizabeth Garcia,32,Japan,Standard,2025-10-03,270,2.11,Romance,2026-06-30,0,0,1,0
213,Sarah Thomas,53,UK,Premium,2025-10-28,245,1.59,Comedy,2026-06-26,4,0,1,0
214,Robert Lewis,35,Germany,Premium,2024-02-19,862,6.38,Romance,2026-06-27,3,0,3,0
215,Robert Taylor,35,Japan,Basic,2025-04-29,427,5.88,Horror,2026-06-30,0,0,2,0
216,Jessica Garcia,34,Brazil,Basic,2025-07-09,356,3.48,Drama,2026-06-30,0,0,1,0
217,Linda Garcia,36,UK,Basic,2026-04-30,61,6.76,Thriller,2026-06-28,2,0,2,0
218,William Davis,46,Germany,Basic,2025-07-13,352,1.75,Adventure,2026-06-17,13,1,1,0
219,Thomas Harris,29,Canada,Premium,2026-05-10,51,2.47,Sci-Fi,2026-06-25,5,0,2,1
220,Mary Harris,18,Germany,Standard,2023-12-31,912,4.66,Crime,2026-06-27,3,1,1,0
221,Karen Young,30,Germany,Basic,2023-07-05,1091,12.08,Crime,2026-06-28,2,0,1,0
222,Karen Wilson,18,UK,Basic,2024-11-04,603,1.22,Drama,2026-06-09,21,0,2,0
223,William Davis,56,Brazil,Basic,2024-02-21,860,1.14,Sci-Fi,2026-06-22,8,1,1,1
224,David Young,37,USA,Standard,2025-01-04,542,6.0,Documentary,2026-06-29,1,0,1,0
225,Patricia Taylor,21,USA,Standard,2025-04-01,455,0.0,Adventure,2026-05-09,52,0,2,1
226,Patricia Brown,18,India,Standard,2025-07-14,351,1.78,Thriller,2026-06-20,10,0,1,0
227,Fatima Hall,38,Mexico,Premium,2023-12-03,940,5.66,Crime,2026-06-30,0,1,2,0
228,Joseph Thomas,32,Australia,Basic,2024-12-09,568,1.11,Thriller,2026-06-30,0,0,1,0
229,Olivia White,30,France,Standard,2024-12-19,558,0.0,Drama,2026-06-23,7,0,1,0
230,Ananya Brown,23,France,Premium,2026-05-30,31,0.0,Fantasy,2026-06-14,16,2,3,1
231,Robert Moore,28,USA,Premium,2024-06-24,736,1.78,Thriller,2026-06-22,8,1,2,0
232,Jennifer Davis,26,Australia,Basic,2024-01-04,908,6.3,Documentary,2026-06-19,11,1,4,0
233,Karen Johnson,39,USA,Basic,2023-10-29,975,6.61,Drama,2026-06-25,5,0,1,0
234,Susan Brown,54,Australia,Basic,2025-11-18,224,0.0,Horror,2026-06-12,18,4,1,1
235,Olivia Johnson,43,UK,Basic,2023-11-19,954,1.76,Horror,2026-06-23,7,0,1,0
236,Thomas Moore,33,France,Standard,2025-02-08,507,2.17,Crime,2026-06-19,11,0,1,1
237,Jennifer Johnson,23,France,Basic,2025-08-21,313,0.0,Action,2026-06-17,13,0,1,0
238,Ananya Johnson,50,USA,Basic,2025-11-24,218,0.72,Fantasy,2026-06-26,4,0,1,0
239,Olivia White,38,India,Basic,2023-09-22,1012,0.0,Horror,2026-06-16,14,2,1,1
240,Lucas Anderson,31,Japan,Basic,2023-10-31,973,6.01,Horror,2026-06-26,4,1,1,0
241,Richard Jackson,38,UK,Standard,2024-01-15,897,9.34,Crime,2026-06-29,1,0,1,1
242,Karen White,32,USA,Basic,2025-12-30,182,0.0,Horror,2026-06-26,4,2,3,1
243,Susan Anderson,38,Canada,Premium,2023-11-27,946,0.0,Horror,2026-06-28,2,2,2,0
244,Fatima Taylor,31,Australia,Standard,2023-07-21,1075,2.01,Documentary,2026-06-29,1,0,1,0
245,Jennifer Miller,37,France,Premium,2025-05-26,400,0.42,Thriller,2026-06-20,10,1,1,0
246,Jessica Davis,43,USA,Standard,2025-12-23,189,3.34,Adventure,2026-06-25,5,0,1,0
247,Carlos Garcia,22,Japan,Standard,2025-08-27,307,1.86,Crime,2026-06-22,8,1,1,0
248,Hiroshi Clark,23,Germany,Basic,2024-06-01,759,1.59,Thriller,2026-06-22,8,0,1,0
249,William Moore,39,Germany,Basic,2026-03-16,106,0.0,Fantasy,2026-06-08,22,1,1,0
250,David Johnson,38,USA,Premium,2024-12-31,546,4.16,Horror,2026-06-24,6,1,4,1
251,William Thomas,26,Brazil,Standard,2024-06-26,734,4.78,Comedy,2026-06-25,5,1,1,0
252,James Clark,25,Mexico,Standard,2026-03-12,110,0.0,Romance,2026-05-19,42,1,5,1
253,Ananya Taylor,18,UK,Basic,2024-12-22,555,2.02,Romance,2026-06-29,1,0,1,0
254,Joseph White,24,France,Premium,2023-12-12,931,4.53,Romance,2026-06-30,0,0,3,0
255,Susan Anderson,28,France,Standard,2024-09-19,649,6.69,Horror,2026-06-25,5,1,1,0
256,Jessica Young,46,Japan,Standard,2024-10-30,608,5.58,Comedy,2026-06-30,0,0,1,0
257,Jennifer Young,31,Australia,Premium,2025-03-15,472,4.34,Comedy,2026-06-29,1,0,4,0
258,Patricia Lewis,36,Australia,Premium,2025-12-16,196,1.85,Documentary,2026-06-30,0,0,1,0
259,Karen Anderson,38,UK,Premium,2026-01-05,176,0.0,Fantasy,2026-06-20,10,1,1,0
260,Susan White,44,India,Basic,2024-07-26,704,1.08,Drama,2026-06-27,3,1,2,0
261,Linda Brown,23,Germany,Standard,2025-02-12,503,4.62,Action,2026-06-26,4,1,1,0
262,Ananya Davis,24,India,Standard,2025-04-12,444,3.69,Documentary,2026-06-20,10,0,1,1
263,Patricia Smith,46,Australia,Standard,2024-05-18,773,12.07,Thriller,2026-06-30,0,0,1,0
264,Joseph Miller,42,Canada,Standard,2025-10-07,266,2.94,Horror,2026-06-28,2,0,1,0
